index;imdbID;tmdbID;imdbRating;imdbVoteCount;tmdbRating;originalTitle;genres;countries;year;runtime;cast;significants;title;overview;tagline;video;posterPath;poster_URLs_original;age;netflix;disney;prime;hbo;
0;tt5700672;396535;76;195179;78;부산행;[28, 27, 53];['KR'];2016;118;['Gong Yoo', 'Jung Yu-mi', 'Ma Dong-seok', 'Choi Woo-shik', 'Ahn So-hee', 'Kim Su-an', 'Kim Eui-sung'];['Yeon Sang-ho'];Train to Busan;Martial law is declared when a mysterious viral outbreak pushes Korea into a state of emergency. Those on an express train to Busan, a city that has successfully fended off the viral outbreak, must fight for their own survival…;Life-or-death survival begins.;E2nrE9JnaDg;/3H1WFCuxyNRP35oiL2qqwhAXxc0.jpg;https://image.tmdb.org/t/p/original/3H1WFCuxyNRP35oiL2qqwhAXxc0.jpg;15;False;False;True;False;
1;tt7282468;491584;75;57979;74;버닝;[18, 9648];['KR'];2018;148;['Yoo Ah-in', 'Steven Yeun', 'Jeon Jong-seo', 'Kim Soo-kyung', 'Choi Seung-ho', 'Moon Sung-keun', 'Min Bok-gi'];['Lee Chang-dong'];Burning;Deliveryman Jongsu is out on a job when he runs into Haemi, a girl who once lived in his neighborhood. She asks if he'd mind looking after her cat while she's away on a trip to Africa. On her return she introduces to Jongsu an enigmatic young man named Ben, who she met during her trip. And one day Ben tells Jongsu about his most unusual hobby...;The truth is all in your head.;oihHs2Errwk;/ld6Lu9gEI93jPC1yHSoKObE1Cyp.jpg;https://image.tmdb.org/t/p/original/ld6Lu9gEI93jPC1yHSoKObE1Cyp.jpg;15;False;False;True;False;
2;tt10449460;586342;70;162;85;로망;[18, 10749];['KR'];2019;112;['Lee Soon-jae', 'Jung Young-sook', 'Jo Han-chul', 'Bae Hae-sun', 'Lee Ye-won', 'Jin Sun-kyu', 'Lee Kyoo-hyung'];['Lee Chang-geun'];Romang;75-year-old Cho Nam-bong and 71-year-old Lee Mae-ja are a couple suffering with dementia. After being married for 45 years, the couple couldn’t even remember when they were in a good relationship. However, as their memories fade by the day, their dreams and romance that have been forgotten rekindle.;;dxuotAcy0g8;/c8Rm8Ssh24ArzBqs3tgxfqZEYPy.jpg;https://image.tmdb.org/t/p/original/c8Rm8Ssh24ArzBqs3tgxfqZEYPy.jpg;7;False;False;True;False;
3;tt11381218;640793;64;241;59;너의 여자친구;[35, 10749];['KR'];2019;100;['Lee Elijah', 'Ji Il-joo', 'Heo Jung-min', 'Kim Ki-doo', 'Lee Jini', 'Go Geon-han'];['Lee Jang-hee'];My Bossy Girl;One day, during a university festival where people are often known to find a partner, the 3 incredibly single members of the robot club decide to attend. There the sloppy and timid Hwi-so meets a very aggressive girl by the name of Hye-jin. His romantic advances, which he learned through reading books and watching YouTube, finally wake up to make their move. But will two finally become one this fall?;;AH6wygVbVvs;/p6V1GlUpH1hlICJf2wdAPwOtmzi.jpg;https://image.tmdb.org/t/p/original/p6V1GlUpH1hlICJf2wdAPwOtmzi.jpg;12;False;False;True;False;
4;tt7243686;478187;66;1842;68;꾼;[28, 80, 53];['KR'];2017;117;['Hyun Bin', 'Yoo Ji-tae', 'Bae Sung-woo', 'Park Sung-woong', 'Nana', 'Ahn Se-ha', 'Choi Deok-moon'];['Jang Chang-won'];The Swindlers;A group of swindlers unite to hunt down an infamous con man who was known dead, amid their hidden motives and deception.;;uarm88E9pmg;/wzxsCW4chkwXzfJPLXImpEpjtV.jpg;https://image.tmdb.org/t/p/original/wzxsCW4chkwXzfJPLXImpEpjtV.jpg;14;False;False;True;False;
5;tt0468492;1255;71;115650;70;괴물;[28, 18, 27];['KR'];2006;120;['Song Kang-ho', 'Byun Hee-bong', 'Park Hae-il', 'Bae Doo-na', 'Go Ah-sung', 'Oh Dal-su', 'Lee Jae-eung'];['Bong Joon-ho'];The Host;Following the dumping of gallons of toxic waste in the river, a giant mutated squid-like appears and begins attacking the populace. Gang-du's daughter Hyun-seo is snatched up by the creature;;;;;;;;;;
6;tt5215952;293670;75;61398;73;곡성;[27, 9648, 53];['KR'];2016;156;['Kwak Do-won', 'Hwang Jung-min', 'Chun Woo-hee', 'Jun Kunimura', 'Kim Hwan-hee', 'Heo Jin', 'Jang So-yeon'];['Na Hong-jin'];The Wailing;A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.;Never be tempted.;VUWAgbXSJ4Y;/tAyQODgkQHsxgKFF3yhGQ2WsABA.jpg;https://image.tmdb.org/t/p/original/tAyQODgkQHsxgKFF3yhGQ2WsABA.jpg;15;False;False;True;False;
7;tt11649634;636293;60;38;60;갱;[28];['KR'];2020;95;['Cha Ji-hyuk', 'Jo Sun-ki', 'Ock Yun-jung', 'Baek Jae-min', 'Kim Dae-han', 'Lee Jung-hyun'];['Jo Ba-reun'];GANG;Choi Jihoon is assigned to Daehun High School, the worst high school in Korea. He pledges to be the ‘Jjang (Top gangster)’ here, but the reality is quite tough.;;h7_Zj48pBv4;/fNlxjub3oLB2ieuLConbRAUmCUE.jpg;https://image.tmdb.org/t/p/original/fNlxjub3oLB2ieuLConbRAUmCUE.jpg;-1;False;False;True;False;
8;tt0114437;18665;61;4151;65;鼠膽龍威;[28, 35, 80];['HK'];1995;101;['Jet Li', 'Jacky Cheung', 'Chingmy Yau', 'Valerie Chow', 'Kelvin Wong', 'Charlie Yeung', 'Yang Chung-Hsien'];['Wong Jing'];High Risk;After failing to save his wife from 'The Doctor', Kit Li is working as a bodyguard and secret stunt double for the cowardly martial arts film star Frankie Lane. Frankie attends an exhibition of the crown jewels of Russia at a Hong Kong hotel, and when the Doctor's gang take over the building in attempt to steal them, Kit is the only thing standing in their way. Will Frankie regain his courage? Will romance blossom between Kit and the nosy reporter? Who has the best Kung-Fu?;He Redefines Revenge.;cHjP1fZwx3U;/9N3Tr1qqWviFHC42jfYcqdJwWM3.jpg;https://image.tmdb.org/t/p/original/9N3Tr1qqWviFHC42jfYcqdJwWM3.jpg;17;False;False;True;False;
9;tt0107162;52316;60;1066;54;黃飛鴻之四王者之風;[28];['HK'];1993;101;['Vincent Zhao', 'Jean Wang', 'Max Mok Siu-Chung', 'Xiong Xin-Xin', 'Billy Chow Bei-Lei', 'Chin Ka-Lok', 'Liu Xun'];['Yuen Bun'];Once Upon a Time in China IV;Wong Fei Hung must deal with both foreign threats and the nationalist Red Lantern Society in this continuation of the popular kung fu series.;;tQDp6IljjSw;/4xxQq3mHTuPRnEBIqkVDWldq0Sk.jpg;https://image.tmdb.org/t/p/original/4xxQq3mHTuPRnEBIqkVDWldq0Sk.jpg;12;False;False;True;False;
10;tt0110073;42287;61;933;52;黃飛鴻之五龍城殲霸;[28];['HK'];1994;101;['Vincent Zhao', 'Rosamund Kwan', 'Max Mok Siu-Chung', 'Kent Cheng Jak-Si', 'Roger Kwok', 'Xiong Xin-Xin', 'Jean Wang'];['Tsui Hark'];Once Upon a Time in China V;Epic adventure set during a tumultuous time in China, when left without a leader, the cavalry is attacked by the powerful allies and pirate bands. A martial arts master, Wong Fei-Hong and Aunt Yee return to do battle against these evil forces.;;;/gdqNcYHdv3AYuGsdKyZ1CeLdjLg.jpg;https://image.tmdb.org/t/p/original/gdqNcYHdv3AYuGsdKyZ1CeLdjLg.jpg;13;False;False;True;False;
11;tt0108592;10619;68;6813;65;黃飛鴻之三 獅王爭霸;[28, 12, 1];['HK'];1993;112;['Jet Li', 'Rosamund Kwan', 'Max Mok Siu-Chung', 'Xiong Xin-Xin', 'Liu Xun', 'John Wakefield', 'Chiu Chin'];['Tsui Hark'];Once Upon a Time in China III;Master Wong and his disciples enroll in the 'Dancing Lion Competition' to stop an assassination plot and to battle an arrogant, deceitful opponent.;;gH0LaV8BYcQ;/8TmkTiHOTAyAjmbtDVi5f78a5ow.jpg;https://image.tmdb.org/t/p/original/8TmkTiHOTAyAjmbtDVi5f78a5ow.jpg;11;False;False;True;False;
12;tt0103285;10617;73;18123;72;黃飛鴻;[28, 12, 36];['HK'];1991;134;['Jet Li', 'Yuen Biao', 'Jacky Cheung', 'Rosamund Kwan', 'Kent Cheng Jak-Si', 'Yuen Gam-Fai', 'Yen Shi-Kwan'];['Tsui Hark'];Once Upon a Time in China;Set in late 19th century Canton, this martial arts film depicts the stance taken by the legendary martial arts hero Wong Fei-Hung against foreign forces' plundering of China.;Never was a Hero needed more...;x95gXieo3f0;/6oBrdOS9E1WNPaRKcRDxx7F2df1.jpg;https://image.tmdb.org/t/p/original/6oBrdOS9E1WNPaRKcRDxx7F2df1.jpg;15;False;False;True;False;
13;tt7521990;531380;57;977;66;黃金兄弟;[28, 12, 80];['HK'];2018;100;['Ekin Cheng Yee-Kin', 'Jordan Chan', 'Michael Tse', 'Chin Ka-Lok', 'Jerry Lamb Hiu-Fung', 'Charmaine Sheh See-Man', 'Eric Tsang'];['Chin Ka-Lok'];Golden Job;A group of former mercenaries reunite to plan an epic heist: boosting a truck full of medicine held by a foreign intelligence agency to supply a refugee camp in need. But when they find the truck is actually filled with stolen gold, the band of brothers realize they’ve been double-crossed by one of their own - and putting the situation right will be all out war.;;rvHi2S9moOE;/qMwpsjpAHvD9ZtfW88xvwlak5Pv.jpg;https://image.tmdb.org/t/p/original/qMwpsjpAHvD9ZtfW88xvwlak5Pv.jpg;16;False;False;True;False;
14;tt5474114;378462;42;279;45;鴨王2;[35];['HK'];2016;96;['Dominic Ho', 'Connie Man', 'Iris Chung', 'Jazz Lam', 'Leslie Lam', 'Tony Ho', 'Winnie Leung'];['Kwok-Man Keung'];The Gigolo 2;Fung, aka “King of the Gigolos”, is now ‘retired’ and running a nightspot in Hong Kong’s Lan Kwai Fong entertainment district. He takes on a rare new client, Monica, who has reluctantly turned to prostitution to pay her mother’s medical bills. Having been referred to him for carnal guidance after a customer labels her a “dead fish”, Monica inevitably falls for Fung’s charms.;;;/hwzSxSqdcCbsmXm4vBADcIhFboK.jpg;https://image.tmdb.org/t/p/original/hwzSxSqdcCbsmXm4vBADcIhFboK.jpg;17;False;False;True;False;
15;tt4539508;323260;45;450;46;鴨王;[18];['HK'];2015;97;['Dominic Ho', 'Candy Yuen', 'Jeana Ho', 'Hazel Tong', 'Winnie Leung', 'Pal Sinn Lap-man', 'Angelina Lo Yuen-Yen'];['Amen Au Cheuk-man'];The Gigolo;Fung looks like a super-heartthrob and was bon with a special endowment, making him the high school idol. He was expelled from school when he was caught fighting on campus. When his mom, the sole provider of his family with her poultry business, had to stop working due to her back problems, Fung decides to support his family financially. And from that moment, his life takes on a tumultuous change…;;;/rtacqLGZaj0FNzTTwo31hgWNR6B.jpg;https://image.tmdb.org/t/p/original/rtacqLGZaj0FNzTTwo31hgWNR6B.jpg;18;False;False;True;False;
16;tt12152790;637182;59;68;72;静かな雨;[18];['JP'];2020;99;['Taiga Nakano', 'Misa Eto', 'Toko Miura', 'Ryota Bando', 'Kanji Furutachi', 'Yōta Kawase', 'Naomi Kawase'];['Ryutaro Nakagawa'];It Stopped Raining;A young bioarchaeologist Yukisuke is attracted to a girl Koyomi, who runs a small stand of taiyaki pastry that he often buys. Koyomi is hospitalized, however, by a car accident on a rainy day after they go out together, and wakes up with short term memory loss, where she cannot remember anything beyond the present day. Yukisuke tries to live close to her as before but the lack of collective memory starts to stagger him.;;;/adou7Nx1DD3rFhJF3fEA6KCW4zu.jpg;https://image.tmdb.org/t/p/original/adou7Nx1DD3rFhJF3fEA6KCW4zu.jpg;-1;False;False;True;False;
17;tt0094694;68868;59;500;61;霸王花;[28];['HK'];1988;91;['Sibelle Hu', 'Cynthia Rothrock', 'Kara Hui', 'Sandra Ng Kwun-Yu', 'Ann Bridgewater', 'Regina Kent', 'Ellen Chan'];['Wellson Chin Sing-Wai'];The Inspector Wears Skirts;The film revolves around a crack squad of female police officers who have to deal with harassment and a lack of respect from their male colleagues, personal issues as well as some serious criminals.;"All the action. All the fun. A female SWAT team in the ""Police Academy"" tradition.";vcYG8RTMk_c;/im9th8k8TXT9HrMjTIvnW4bU9uC.jpg;https://image.tmdb.org/t/p/original/im9th8k8TXT9HrMjTIvnW4bU9uC.jpg;17;False;False;True;False;
18;tt0080717;71518;68;698;66;長輩;[28, 35];['HK'];1981;121;['Liu Chia-Liang', 'Kara Hui', 'Johnny Wang Lung-Wei', 'Hsiao Ho', 'Gordon Liu Chia-Hui', 'Robert Mak', 'Wong Ching-Ho'];['Liu Chia-Liang'];My Young Auntie;Cheng (Kara Hui Ying Hung), a beautiful martial arts ace, battles to keep her inheritance from the ruthless Yun Wei (Johnny Wang Lung Wei), but her efforts are sabotaged by Yu Tao (Hsaio Ho), her wayward and irrepressible great-nephew. Following a frenzy of spectacular comic mishaps, the hapless duo are setup and imprisoned and the deeds to Cheng's estate are stolen. She is held hostage after a doomed attempt to reclaim the papers back from Yu Wei's place, and the stage is set for a savage fight to the death.;;j9gWsorFKeA;/7NyC9bAviySybeWe9qR0ohLjSvy.jpg;https://image.tmdb.org/t/p/original/7NyC9bAviySybeWe9qR0ohLjSvy.jpg;15;False;False;True;False;
19;tt5805470;432985;61;2343;67;銀魂;[28, 12, 35];['JP'];2017;130;['Shun Oguri', 'Masaki Suda', 'Kanna Hashimoto', 'Yuya Yagira', 'Hirofumi Arai', 'Ryo Yoshizawa', 'Akari Hayami'];['Yuichi Fukuda'];Gintama;In an era where aliens have invaded and taken over feudal Tokyo, a young samurai finds work however he can.;;;/optlFojmbJKLwTe9QpqLiFbGR9k.jpg;https://image.tmdb.org/t/p/original/optlFojmbJKLwTe9QpqLiFbGR9k.jpg;12;False;False;True;False;
20;tt11070230;639445;66;716;75;金都;[18];['HK'];2020;92;['Stephy Tang', 'Chu Pak-Hong', 'Pau Hei-Ching', 'Jin Kaijie', 'Eman Lam Yi-Man', 'Hui Siu-ying', 'Sham Ka-Ki'];['Norris Wong'];My Prince Edward;Serving countless newlyweds in Hong Kong’s go-to one-stop-shop of cheap wedding supplies doesn’t exempt Fong from social pressure to marry. Since nodding to Edward’s proposal, she has been pushed beyond limits by unaffordable housing, archaic customs, and intrusive in-laws. What befuddles her further is the reappearance of Shuwei, a mainlander she’s supposed to be divorced from out of a sham marriage that solved her coming-of-age hardship. Zeroing in on nuts and bolts of modern marriage, My Prince Edward pokes around fixated correlations of freedom with relationship status and geographic residence. Like a breath of fresh air out of the breathless space it navigates, the whimsical gem contributes a rare humane take on the worldly metropolis's divisions with humor and wisdom.;;DMUYt9i8V9s;/5hYDlKJ69aQfvei1dLjaLMZD6zW.jpg;https://image.tmdb.org/t/p/original/5hYDlKJ69aQfvei1dLjaLMZD6zW.jpg;12;False;False;True;False;
21;tt3504824;254526;55;1594;59;那夜凌晨，我坐上了旺角開往大埔的紅VAN;[35, 9648, 878];['HK'];2014;124;['Wong Yau-Nam', 'Janice Man', 'Chui Tien-You', 'Kara Hui', 'Simon Yam', 'Sam Lee', 'Lee Sheung-Ching'];['Fruit Chan'];The Midnight After;A night like any other in the streets of Hong Kong: in the midst of the tangle of night-owls, cars and vendors, a group of passengers climbs aboard a minibus that is to take them from Mongkok to Tai Po. The group is as diverse as the city: there’s a young man on drugs, an arguing couple, a woman with prayer beads and a girl who has just fallen in love. And behind the wheel sits the chatty driver. But as the bus emerges from a tunnel, everything is suddenly quite still: the streets and buildings are all empty and there’s not a soul to be seen;;;;;;;;;;
22;tt1941705;72063;54;354;70;財神客棧;[28, 35];['HK', 'CN'];2011;97;['Nicholas Tse', 'Nick Cheung', 'Tong Dawei', 'Charlene Choi', 'Huang Yi', 'Young Liu', 'Richard Yuen Tak'];['Wong Jing'];Treasure Inn;"Master Kung and Lo Pa are two police officers of White Horse City, who have high skills but are underused. A robbery happened at he city's richest man Ho Pak Man's home where his whole family was killed and their family treasure the ""White Jade Goddess of Mercy"" was stolen and the ""Police God"" Tit Mo Ching investigates the case. Kung and Lo Pa cannot participate because of their low status. Coincidentally, Master Kung and Lo Pa arrest a pair of twin sisters, Water Dragon Girl and Fire Dragon Girl, who always pretend to catch wanted criminals to get monetary rewards. The twin sisters know that the ""White Jade Goddess of Mercy"" would be brought to the ""Treasure Inn"" for an auction. Wanting to hit big, Master Kung and Lo Pa go to the ""Treasure Inn"" with the twin sisters to investigate the truth. During that time, Master Kung and Water Dragon Girl become lovers from a kiss.";;;/hoTzlS3CNQanOinA1z1yDvQH6Gx.jpg;https://image.tmdb.org/t/p/original/hoTzlS3CNQanOinA1z1yDvQH6Gx.jpg;12;False;False;True;False;
23;tt4819560;362154;67;2313;62;解救吾先生;[28, 80, 18];['CN'];2015;106;['Andy Lau', 'Liu Ye', 'Wang Qian-Yuan', 'Lu Cai', 'Lam Suet', 'Wu Ruofu', 'Sang Ping'];['Ding Sheng'];Saving Mr. Wu;Mr. Wu, a Hong Kong movie star, is kidnapped in Beijing by Zhang Hua's gang. The police quickly form a task force and begin the search, ignoring that detectives in charge have only twenty hours before the deadline. (A story based on the famous kidnapping case of television actor Wu Rufou that took place in 2004.);How much is your life worth?;Gql0lQf4UPo;/adUIp4YJWkd2F5vqscsEkQtyJa4.jpg;https://image.tmdb.org/t/p/original/adUIp4YJWkd2F5vqscsEkQtyJa4.jpg;17;False;False;True;False;
24;tt2017561;170657;68;12273;70;西游·降魔篇;[28, 12, 35];['CN'];2013;110;['Wen Zhang', 'Shu Qi', 'Huang Bo', 'Show Lo', 'Lee Sheung-Ching', 'Chen Bingqiang', 'Cheng Si-Han'];['Stephen Chow', 'Derek Kwok'];Journey to the West: Conquering the Demons;In a world plagued by demons who cause great human suffering, young demon hunter Xuan Zang risks his all to conquer a water demon, a pig demon and the demon of all demons, Sun Wukong.;;g3JzljB3zQg;/XcFMQQfx1gMlh1RyEednP6frNC.jpg;https://image.tmdb.org/t/p/original/XcFMQQfx1gMlh1RyEednP6frNC.jpg;14;False;False;True;False;
25;tt10489348;640275;63;356;64;被光抓走的人;[18, 9648, 10749];['CN'];2019;131;['Huang Bo', 'Wang Luodan', 'Tan Zhuo', 'Bai Ke', 'Huang Lu', 'Jiao Junyan', 'Song Chunli'];['Runnian Dong'];Gone with the Light;'Gone With The Light' is a 2019 Chinese sci-fi thriller, revolves around a group of people that disappear after a mysterious light falls upon the city, leaving the survivors to try and unravel the mystery.;;;/xaNXYURLqG40oF4vglX3yfI3efv.jpg;https://image.tmdb.org/t/p/original/xaNXYURLqG40oF4vglX3yfI3efv.jpg;11;False;False;True;False;
26;tt0106376;44616;62;580;62;蘇乞兒;[28, 18];['HK'];1993;91;['Donnie Yen', 'Wong Gok', 'Ng Man-tat', 'Sheila Chan Suk-Lan', 'Dickson Lee', 'Xiong Xin-Xin', 'Bao Fang'];['Yuen Woo-ping'];Fist of the Red Dragon;Expert fighters must band together in an ultimate martial arts showdown when Southern China’s High Officers begin smuggling opium over the border and endangering the lives of the local villagers. With no one to protect them and an Emperor that does not honor them, the people turn to the Master Fighters Lin Shih Tsui and Hwang Fei Hung to battle the evil officers and bring justice to the land.;;;/eXpo2q5fQDc0yJg36hMZw71QkwF.jpg;https://image.tmdb.org/t/p/original/eXpo2q5fQDc0yJg36hMZw71QkwF.jpg;15;False;False;True;False;
27;tt7262882;450001;65;8061;62;葉問外傳：張天志;[28, 1, 80];['CN', 'HK'];2018;107;['Zhang Jin', 'Dave Bautista', 'Liu Yan', 'Xing Yu', 'Michelle Yeoh', 'Tony Jaa', 'Kevin Cheng'];['Yuen Woo-ping'];Master Z: Ip Man Legacy;Following his defeat by Master Ip, Cheung Tin Chi tries to make a life with his young son in Hong Kong, waiting tables at a bar that caters to expats. But it's not long before the mix of foreigners, money, and triad leaders draw him once again to the fight.;;KZau4zsOtyM;/6VxEvOF7QDovsG6ro9OVyjH07LF.jpg;https://image.tmdb.org/t/p/original/6VxEvOF7QDovsG6ro9OVyjH07LF.jpg;12;False;False;True;False;
28;tt2888046;365222;71;53011;70;葉問3;[28, 1, 18];['HK'];2015;105;['Donnie Yen', 'Lynn Hung', 'Zhang Jin', 'Patrick Tam', 'Karena Ng', 'Kent Cheng Jak-Si', 'Louis Cheung'];['Wilson Yip'];Ip Man 3;When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand.;;klg-nxejrp8;/RTt4lgyTDI8JHMGbZGDDbcZmkM.jpg;https://image.tmdb.org/t/p/original/RTt4lgyTDI8JHMGbZGDDbcZmkM.jpg;11;False;False;True;False;
29;tt1386932;37472;75;102038;75;葉問2;[28, 1, 18];['CN', 'HK'];2010;108;['Donnie Yen', 'Sammo Hung', 'Simon Yam', 'Lynn Hung', '樊少皇', 'Lo Meng', 'Huang Xiaoming'];['Wilson Yip'];Ip Man 2;Having defeated the best fighters of the Imperial Japanese army in occupied Shanghai, Ip Man and his family settle in post-war Hong Kong. Struggling to make a living, Master Ip opens a kung fu school to bring his celebrated art of Wing Chun to the troubled youth of Hong Kong. His growing reputation soon brings challenges from powerful enemies, including pre-eminent Hung Gar master, Hung Quan.;Behind every great martial artist lies a teacher.;gaBdgu00otE;/5FCY2ueDzU6b39byAGb3NRvr0zG.jpg;https://image.tmdb.org/t/p/original/5FCY2ueDzU6b39byAGb3NRvr0zG.jpg;14;False;False;True;False;
30;tt0322918;83091;68;1045;75;聖闘士星矢 神々の熱き戦い;[16, 28, 14];['JP'];1988;46;['Toru Furuya', 'Hirotaka Suzuoki', 'Kôichi Hashimoto', 'Ryou Horikawa', 'Hideyuki Hori', 'Keiko Han', 'Iemasa Kayumi'];['Shigeyasu Yamauchi'];Saint Seiya: The Heated Battle of the Gods;In Siberia, Hyōga saves a man that is being attacked. Injured, the man manages only to say something about Asgard. Some days later, Saori, Seiya, Shiryū and Shun are wondering about Hyōga and decide to go to Asgard to investigate. At Valhalla, the Lord of Asgard, Dolbar, says he has not heard of any Hyōga and neither has his right hand, Loki. However, at all times Seiya and the others can feel an evil cosmo emanating from Loki and the other Odin Saints called God Warriors. Shiryū, in particular, notices a familiar cosmo coming from Midgard, a mysterious, masked God Warrior. Dolbar makes it clear that he is trying to take control of both Asgard and the Sanctuary, imprisoning Athena in a strange dimension within the giant statue of Odin. Midgard reveals himself as Hyōga and tries to kill Shiryū to prove himself to Dolbar. Thus, it is the task of the Bronze Saints to defeat Dolbar, Loki and the rest of the God Warriors, to save Athena and Hyōga.;;SscaDNeWk4U;/AvnpsjCYUcmnAW1khPBzZQKPviw.jpg;https://image.tmdb.org/t/p/original/AvnpsjCYUcmnAW1khPBzZQKPviw.jpg;0;False;False;True;False;
31;tt0326143;66105;73;1231;75;聖闘士星矢 真紅の少年伝説;[16, 28, 14];['JP'];1988;75;['Toru Furuya', 'Hirotaka Suzuoki', 'Hideyuki Hori', 'Ryou Horikawa', 'Kôichi Hashimoto', 'Keiko Han', 'Kazuyuki Sogabe'];['Shigeyasu Yamauchi'];Saint Seiya: Legend of Crimson Youth;Athena receives the visit of Phoebus Abel, her older brother and God of the Corona. He informs her that he has come to destroy humanity as punishment for their corruption, just as it was done in ancient times. He dismisses Seiya and the Bronze Saints, as she will now be guarded by Abel's three Corona Saints, Atlas of Carina, Jaow of Lynx and Berenike of Coma Berenices, and the five resurrected Gold Saints who died in the Sanctuary battle: Saga of Gemini, Deathmask of Cancer, Shura of Capricorn, Camus of Aquarius and Aphrodite of Pisces. When Athena rebels against Abel's plan, he attacks her, sending her soul to Elysion, the final resting place from which there is no return. The Bronze Saints immediately rush to the Sanctuary to save her and ultimately overcome Abel.;;CgVNAmPQq1o;/7I7x2eMUwjroTmHfIn4WCr9Ls27.jpg;https://image.tmdb.org/t/p/original/7I7x2eMUwjroTmHfIn4WCr9Ls27.jpg;0;False;False;True;False;
32;tt0326101;83088;66;901;73;聖闘士星矢 最終聖戦の戦士たち;[16, 28, 14];['JP'];1989;45;['Toru Furuya', 'Hirotaka Suzuoki', 'Kôichi Hashimoto', 'Ryou Horikawa', 'Hideyuki Hori', 'Keiko Han', 'Masane Tsukayama'];['Masayuki Akehi'];Saint Seiya: Warriors of the Final Holy Battle;The plot involves the coming of Lucifer to the Sanctuary, where his underlings systematically dispose of the surviving Gold Saints. Athena goes to Lucifer to ask for peace, placing herself in peril. The Bronze Saints must then come to her rescue, destroying Lucifer's Fallen Angels (Seima Tenshi in Japanese) in the process.;;;/oZ0FjRgvLy2Z8DB5UrPWdZsjRyQ.jpg;https://image.tmdb.org/t/p/original/oZ0FjRgvLy2Z8DB5UrPWdZsjRyQ.jpg;0;False;False;True;False;
33;tt0323869;83090;65;1284;71;聖闘士星矢;[16, 28, 14];['JP'];1987;46;['Toru Furuya', 'Hirotaka Suzuoki', 'Hideyuki Hori', 'Ryou Horikawa', 'Kôichi Hashimoto', 'Keiko Han', 'Toshiko Fujita'];['Kouzou Morishita'];Saint Seiya: Evil Goddess Eris;When Seiya, Hyōga and Shun visit Saori (Athena) at the orphanage, they meet an employee called Eri. An orphan herself, Eri takes a liking to Hyōga and one night they sit outside watching the stars. They see a shooting star and Hyōga asks Eri to make a wish. After Hyōga leaves, however, Eri becomes powerfully attracted to the shooting star and wanders alone into the woods, where she finds a golden apple. She is then possessed by Eris, the Goddess of Discord, and kidnaps Athena, planning to use the golden apple to suck her energy out, fully reincarnate and take over the world. Eris leaves a message for the Bronze Saints, who set out for the goddess's temple which appears on the mountains. There, the heroes fight the five Ghost Saints: Maya of Sagitta, Orpheus of Lyra, Christ of the Southern Cross, Jan of Scutum (called by the Japanese name Tateza) and Jäger of Orion.;;;/jvY3GcoG34J1D9OBEN8Qb6GfU8p.jpg;https://image.tmdb.org/t/p/original/jvY3GcoG34J1D9OBEN8Qb6GfU8p.jpg;5;False;False;True;False;
34;tt9283920;613658;61;683;74;紧急救援;[28, 18];['CN'];2020;138;['Eddie Peng', 'Ian Wang', 'Xin Zhilei', 'Lyric Lan', 'Yutian Wang', 'Carlos Chan', 'Li Mincheng'];['Dante Lam'];The Rescue;A rescue unit within the Chinese Coast Guard are forced to overcome their personal differences to resolve a crisis.;;7HfnEsDMSiA;/zZGUXiaGH9Nk6uebfRuASPSJoPo.jpg;https://image.tmdb.org/t/p/original/zZGUXiaGH9Nk6uebfRuASPSJoPo.jpg;14;False;False;True;False;
35;tt0068767;11713;73;29063;73;精武門;[28, 18];['HK'];1972;108;['Bruce Lee', 'Nora Miao', 'Maria Yi', 'James Tien Chuen', 'Tien Feng', 'Huang Chung-Hsin', 'Han Ying-Chieh'];['Lo Wei'];Fist of Fury;Chen Zhen returns to the international compound of China only to learn of his beloved teacher's death. This is compounded by the continual racist harassment by the Japanese population in the area. Unlike his friends, he confronts it head on with his mastery of martial arts while investigating his teacher's murder.;Bruce Lee has done the impossible... ...HE'S SURPASSED HIMSELF!!!;3qa2c5B5Yj0;/mqhooEqZvo7eJoLsTstXbxbsG63.jpg;https://image.tmdb.org/t/p/original/mqhooEqZvo7eJoLsTstXbxbsG63.jpg;15;False;False;True;False;
36;tt8779020;553821;69;153;60;第一次的离别;[18];['CN'];2020;86;['Isa Yasan', 'Kalbinur Rahmati', 'Alinaz Rahmati'];['Lina Wang'];A First Farewell;Lina Wang's directorial debut  is a poem to her hometown, portraying a Muslim farmboy’s relationship with his deaf-mute mother, his friendship with a girl, and his parting from them.;;S1VQPqEMJNQ;/biWDNOgq1CACNpysKlkDNJoX94c.jpg;https://image.tmdb.org/t/p/original/biWDNOgq1CACNpysKlkDNJoX94c.jpg;5;False;False;True;False;
