source,target,value
tt2591814,tt9426210,30.0
tt1386932,tt1220719,31.0
tt1386932,tt1386932,31.428571428571427
tt1220719,tt1386932,31.0
tt0169858,tt0169880,16.25
tt0169858,tt0860906,16.0
tt0169858,tt0860907,16.0
tt0169858,tt2458948,16.0
tt0169880,tt0860906,31.11111111111111
tt0169880,tt0860907,31.0
tt0169880,tt2458948,31.0
tt0860906,tt0860907,31.25
tt0860906,tt2458948,31.25
tt0860907,tt2458948,31.25
tt8108230,tt8856470,16.0
tt8856470,tt0235679,16.25
tt8856470,tt1160525,16.11111111111111
tt8856470,tt1468843,16.11111111111111
tt0235679,tt1160525,31.25
tt0235679,tt1468843,31.11111111111111
tt1160525,tt1468843,31.25
tt10152736,tt10152736,31.428571428571427
tt2262126,tt0367495,30.0
tt4271820,tt0499375,30.0
tt3173910,tt3173910,31.428571428571427
tt0367110,tt8176040,30.0
tt7690638,tt5764024,30.0
tt1836912,tt0315642,30.0
tt0323013,tt0292490,30.76923076923077
tt0323013,tt0461936,30.833333333333336
tt0292490,tt0461936,30.0
tt0461936,tt0461936,31.428571428571427
tt1375789,tt1017456,15.909090909090908
tt1375789,tt0211634,15.0
tt1017456,tt0211634,15.0
tt4909752,tt1274295,30.76923076923077
tt0405508,tt1043451,30.0
tt3802576,tt3802576,31.428571428571427
tt3148502,tt1093370,30.0
tt0172684,tt0248126,30.909090909090907
tt0172684,tt0449999,30.833333333333336
tt0172684,tt0172684,31.428571428571427
tt0248126,tt0449999,30.909090909090907
tt0248126,tt0172684,30.909090909090907
tt0248126,tt0248126,31.428571428571427
tt0449999,tt0172684,30.833333333333336
tt0449999,tt0248126,30.909090909090907
tt0449999,tt0449999,31.428571428571427
tt0347304,tt0347304,31.428571428571427
tt0443706,tt1285016,30.0
tt0443706,tt1568346,30.0
tt1285016,tt1568346,30.76923076923077
tt0406375,tt6105098,30.0
tt0406375,tt3040964,30.0
tt6105098,tt3040964,30.0
tt3544734,tt3544734,31.428571428571427
tt11658120,tt2401097,30.0
tt5362988,tt3215824,30.0
tt0108550,tt5523010,15.0
tt0286788,tt0286788,31.428571428571427
tt2005151,tt1411697,30.76923076923077
tt2005151,tt1119646,30.76923076923077
tt1411697,tt1119646,31.0
tt3455224,tt6073176,30.0
tt5816682,tt0436697,30.0
tt5816682,tt0099703,30.0
tt0436697,tt0099703,30.0
tt1686821,tt0416236,30.0
tt0817230,tt0247638,30.76923076923077
tt0817230,tt0817230,31.428571428571427
tt0247638,tt0817230,30.76923076923077
tt0320691,tt1386703,30.833333333333336
